DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2020,EQ,"915.00","920.00","887.25","879.75","915.10","910.30","906.63","2,503.30","738.75",27941831,"25,33,30,29,144.80",453652
16-Apr-2020,EQ,"865.00","890.70","856.25","863.30","884.25","879.75","870.76","2,503.30","738.75",26927231,"23,44,70,30,480.50",467724
15-Apr-2020,EQ,"930.50","930.50","843.00","895.35","865.15","863.30","885.42","2,503.30","738.75",28989523,"25,66,79,31,187.70",517354
13-Apr-2020,EQ,"934.00","946.70","886.20","925.05","897.80","895.35","907.82","2,503.30","738.75",17079259,"15,50,48,28,498.50",389148
09-Apr-2020,EQ,"913.00","930.90","890.00","888.90","922.10","925.05","913.38","2,503.30","738.75",22229012,"20,30,34,62,865.40",417910
08-Apr-2020,EQ,"879.95","945.00","866.10","896.10","888.70","888.90","902.09","2,503.30","738.75",28109877,"25,35,76,09,084.60",503019
07-Apr-2020,EQ,"874.00","907.30","845.35","813.85","895.80","896.10","871.57","2,503.30","738.75",30206626,"26,32,73,15,325.80",475198
03-Apr-2020,EQ,"843.00","844.00","810.00","829.65","811.00","813.85","825.26","2,503.30","738.75",17499063,"14,44,13,17,976.20",392455
01-Apr-2020,EQ,"863.85","863.85","820.00","861.90","829.55","829.65","831.99","2,503.30","738.75",14551758,"12,10,69,33,301.25",354947
31-Mar-2020,EQ,"853.80","873.60","838.00","831.65","857.95","861.90","854.73","2,503.30","738.75",17605997,"15,04,84,45,041.15",411360
30-Mar-2020,EQ,"880.00","887.00","828.00","904.45","831.00","831.65","858.48","2,503.30","738.75",19634313,"16,85,56,55,095.40",491743
27-Mar-2020,EQ,"944.95","988.65","872.10","901.10","900.00","904.45","923.14","2,503.30","738.75",27619436,"25,49,66,67,368.35",651440
26-Mar-2020,EQ,"870.10","937.70","841.00","856.75","898.00","901.10","898.62","2,503.30","738.75",28521681,"25,63,01,40,172.80",627160
25-Mar-2020,EQ,"770.45","867.45","755.25","767.70","863.00","856.75","803.92","2,503.30","738.75",23614449,"18,98,40,55,133.70",608039
24-Mar-2020,EQ,"795.25","810.00","738.75","771.55","774.80","767.70","775.82","2,503.30","738.75",30528676,"23,68,47,12,047.25",634897
23-Mar-2020,EQ,"794.60","838.75","765.00","882.85","778.90","771.55","784.50","2,503.30","765.00",25142273,"19,72,41,38,348.90",590210
20-Mar-2020,EQ,"875.00","914.60","824.55","895.55","881.25","882.85","868.05","2,503.30","795.00",44319015,"38,47,10,82,495.00",790631
19-Mar-2020,EQ,"847.00","919.95","795.00","876.90","904.60","895.55","857.03","2,503.30","795.00",33610239,"28,80,50,78,999.25",632617
