DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Apr-2020,EQ,"5,017.00","5,228.00","4,970.00","5,094.30","5,148.00","5,130.80","5,112.87","7,758.70","4,001.10",1752170,"8,95,86,15,439.60",161573
15-Apr-2020,EQ,"5,307.50","5,350.00","5,041.00","5,283.15","5,090.00","5,094.30","5,211.13","7,758.70","4,001.10",2094529,"10,91,48,72,831.65",195907
13-Apr-2020,EQ,"5,285.00","5,343.40","5,001.00","5,326.65","5,270.00","5,283.15","5,166.27","7,758.70","4,001.10",2192269,"11,32,58,58,702.60",221195
09-Apr-2020,EQ,"4,794.45","5,399.00","4,736.20","4,698.10","5,350.00","5,326.65","5,116.97","7,758.70","4,001.10",3786661,"19,37,62,15,716.55",310721
08-Apr-2020,EQ,"4,406.50","4,925.00","4,406.50","4,553.65","4,700.00","4,698.10","4,702.68","7,758.70","4,001.10",2798838,"13,16,20,32,684.55",252470
07-Apr-2020,EQ,"4,150.00","4,612.90","4,120.00","4,011.50","4,525.95","4,553.65","4,325.97","7,758.70","4,001.10",2688425,"11,63,00,36,387.35",257463
03-Apr-2020,EQ,"4,250.00","4,267.00","4,001.10","4,246.35","4,011.50","4,011.50","4,099.78","7,758.70","4,001.10",1724863,"7,07,15,62,250.80",174626
01-Apr-2020,EQ,"4,290.00","4,424.85","4,190.10","4,288.30","4,229.00","4,246.35","4,273.79","7,758.70","4,030.00",1323857,"5,65,78,89,879.15",147374
31-Mar-2020,EQ,"4,450.00","4,468.05","4,210.00","4,328.45","4,288.30","4,288.30","4,288.74","7,758.70","4,030.00",2140288,"9,17,91,35,849.65",200296
30-Mar-2020,EQ,"4,587.45","4,639.95","4,270.00","4,646.10","4,360.00","4,328.45","4,423.18","7,758.70","4,030.00",1528083,"6,75,89,82,842.00",157181
27-Mar-2020,EQ,"5,100.00","5,136.50","4,555.00","4,878.00","4,655.00","4,646.10","4,753.66","7,758.70","4,030.00",1339446,"6,36,72,69,207.60",173761
26-Mar-2020,EQ,"5,024.45","5,120.00","4,750.00","5,005.95","4,950.00","4,878.00","4,926.22","7,758.70","4,030.00",1338798,"6,59,52,06,823.45",162802
25-Mar-2020,EQ,"4,439.00","5,159.40","4,310.10","4,486.45","4,960.00","5,005.95","4,785.80","7,758.70","4,030.00",1728820,"8,27,37,87,423.90",172520
24-Mar-2020,EQ,"4,341.00","4,570.00","4,030.00","4,220.35","4,545.00","4,486.45","4,361.25","7,758.70","4,030.00",1746713,"7,61,78,59,746.45",186957
23-Mar-2020,EQ,"4,575.00","4,790.00","4,141.00","5,079.20","4,178.00","4,220.35","4,371.69","7,758.70","4,141.00",1531989,"6,69,73,82,876.00",234867
20-Mar-2020,EQ,"4,869.00","5,225.00","4,812.60","4,819.55","5,094.00","5,079.20","5,040.51","7,758.70","4,652.55",1614608,"8,13,84,43,331.40",166562
19-Mar-2020,EQ,"4,870.00","5,096.60","4,652.55","5,352.65","4,859.00","4,819.55","4,874.22","7,758.70","4,652.55",2554586,"12,45,16,21,373.00",250425
