DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Mar-2020,EQ,"5,671.00","5,688.80","5,312.55","5,603.95","5,370.20","5,352.65","5,419.95","7,758.70","4,803.05",973406,"5,27,58,13,532.30",113820
17-Mar-2020,EQ,"5,502.00","5,746.95","5,502.00","5,480.25","5,600.00","5,603.95","5,646.01","7,758.70","4,803.05",1238640,"6,99,33,71,024.15",127952
16-Mar-2020,EQ,"5,638.60","5,688.00","5,400.00","5,838.60","5,460.00","5,480.25","5,562.31","7,758.70","4,803.05",933424,"5,19,19,95,753.90",112598
13-Mar-2020,EQ,"5,325.20","6,063.50","4,803.05","5,643.15","5,900.00","5,838.60","5,608.16","7,758.70","4,803.05",1480275,"8,30,16,16,079.85",151656
12-Mar-2020,EQ,"5,939.30","5,939.30","5,555.55","6,146.30","5,642.25","5,643.15","5,742.20","7,758.70","5,446.05",1345986,"7,72,89,17,382.75",139523
11-Mar-2020,EQ,"6,160.00","6,310.95","6,105.00","6,201.10","6,137.95","6,146.30","6,177.52","7,758.70","5,446.05",937029,"5,78,85,18,295.35",100403
09-Mar-2020,EQ,"6,301.00","6,374.00","6,079.40","6,445.95","6,225.00","6,201.10","6,240.68","7,758.70","5,446.05",1082031,"6,75,26,11,537.40",113127
06-Mar-2020,EQ,"6,196.40","6,480.00","6,100.15","6,365.95","6,393.10","6,445.95","6,331.23","7,758.70","5,446.05",1140899,"7,22,32,92,485.55",98103
05-Mar-2020,EQ,"6,411.90","6,464.00","6,330.20","6,384.35","6,348.00","6,365.95","6,390.88","7,758.70","5,446.05",645853,"4,12,75,68,322.90",65335
04-Mar-2020,EQ,"6,390.00","6,424.00","6,209.00","6,386.05","6,380.00","6,384.35","6,334.46","7,758.70","5,446.05",904360,"5,72,86,34,377.25",82506
03-Mar-2020,EQ,"6,318.00","6,422.15","6,280.50","6,285.15","6,386.10","6,386.05","6,344.80","7,758.70","5,446.05",849199,"5,38,80,01,212.60",90279
02-Mar-2020,EQ,"6,400.95","6,439.55","6,250.00","6,283.10","6,300.00","6,285.15","6,332.12","7,758.70","5,446.05",1219764,"7,72,36,95,156.50",96971
28-Feb-2020,EQ,"6,163.05","6,367.35","6,103.20","6,289.80","6,294.05","6,283.10","6,235.61","7,758.70","5,446.05",1468843,"9,15,91,34,308.35",117164
27-Feb-2020,EQ,"6,230.00","6,338.05","6,166.80","6,234.85","6,291.00","6,289.80","6,259.71","7,758.70","5,446.05",1492657,"9,34,35,94,036.05",143056
26-Feb-2020,EQ,"6,350.00","6,368.85","6,186.05","6,414.55","6,260.00","6,234.85","6,285.00","7,758.70","5,446.05",1580738,"9,93,49,32,440.00",116894
25-Feb-2020,EQ,"6,505.40","6,510.00","6,376.55","6,470.40","6,411.25","6,414.55","6,447.27","7,758.70","5,446.05",964897,"6,22,09,55,759.00",120005
24-Feb-2020,EQ,"6,710.00","6,710.00","6,439.80","6,757.60","6,475.00","6,470.40","6,552.55","7,758.70","5,446.05",1091346,"7,15,10,99,771.80",116104
20-Feb-2020,EQ,"6,761.00","6,807.55","6,720.00","6,756.60","6,740.10","6,757.60","6,772.50","7,758.70","5,446.05",682513,"4,62,23,17,506.90",57024
19-Feb-2020,EQ,"6,850.00","6,854.95","6,624.60","6,781.10","6,763.00","6,756.60","6,734.72","7,758.70","5,446.05",1033939,"6,96,32,93,978.80",98165
