DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Mar-2020,EQ,"1,025.30","1,035.90","961.00","1,008.00","976.45","968.50","992.19","1,617.55","942.40",20450497,"20,29,07,76,263.75",499736
17-Mar-2020,EQ,"1,047.25","1,060.00","1,003.20","1,015.70","1,011.50","1,008.00","1,034.68","1,617.55","942.40",20777442,"21,49,79,94,559.00",463953
16-Mar-2020,EQ,"1,060.55","1,079.70","1,005.00","1,105.30","1,012.20","1,015.70","1,046.83","1,617.55","942.40",17594729,"18,41,87,45,886.00",441083
13-Mar-2020,EQ,"998.00","1,140.00","942.40","1,063.00","1,116.95","1,105.30","1,053.35","1,617.55","942.40",33509757,"35,29,74,04,438.20",706395
12-Mar-2020,EQ,"1,085.00","1,101.00","1,048.70","1,153.55","1,059.00","1,063.00","1,076.20","1,617.55","1,048.70",25588170,"27,53,80,49,024.35",646095
11-Mar-2020,EQ,"1,108.00","1,178.45","1,108.00","1,114.15","1,152.00","1,153.55","1,157.92","1,617.55","1,095.00",27237627,"31,53,89,87,521.10",490124
09-Mar-2020,EQ,"1,240.05","1,241.00","1,095.00","1,271.00","1,104.50","1,114.15","1,143.56","1,617.55","1,095.00",40317808,"46,10,59,53,148.80",846382
06-Mar-2020,EQ,"1,270.00","1,288.15","1,241.10","1,311.15","1,269.85","1,271.00","1,271.62","1,617.55","1,095.30",15422068,"19,61,09,74,599.30",389652
05-Mar-2020,EQ,"1,352.20","1,357.95","1,306.00","1,339.70","1,309.90","1,311.15","1,327.07","1,617.55","1,095.30",13948324,"18,51,03,67,252.80",319378
04-Mar-2020,EQ,"1,352.00","1,353.80","1,307.90","1,342.85","1,349.00","1,339.70","1,331.24","1,617.55","1,095.30",10105782,"13,45,32,13,011.65",297606
03-Mar-2020,EQ,"1,329.70","1,353.90","1,322.00","1,316.15","1,346.35","1,342.85","1,339.28","1,617.55","1,095.30",12525809,"16,77,55,18,803.70",275521
02-Mar-2020,EQ,"1,355.10","1,369.00","1,301.10","1,328.65","1,322.00","1,316.15","1,343.40","1,617.55","1,095.30",13486634,"18,11,79,90,644.90",274282
28-Feb-2020,EQ,"1,354.90","1,357.00","1,325.00","1,386.25","1,327.00","1,328.65","1,338.96","1,617.55","1,095.30",17973847,"24,06,62,01,012.35",373466
27-Feb-2020,EQ,"1,388.00","1,393.80","1,369.00","1,392.00","1,380.45","1,386.25","1,381.33","1,617.55","1,095.30",11454300,"15,82,21,75,752.20",240043
26-Feb-2020,EQ,"1,410.00","1,412.35","1,387.35","1,416.40","1,389.50","1,392.00","1,399.83","1,617.55","1,095.30",13423661,"18,79,08,08,835.50",268512
25-Feb-2020,EQ,"1,451.40","1,451.40","1,410.00","1,444.95","1,420.00","1,416.40","1,432.47","1,617.55","1,095.30",12684109,"18,16,95,72,259.45",281387
24-Feb-2020,EQ,"1,469.75","1,477.00","1,439.55","1,485.95","1,447.10","1,444.95","1,462.78","1,617.55","1,095.30",9769743,"14,29,10,04,524.25",237165
20-Feb-2020,EQ,"1,497.00","1,508.00","1,483.80","1,503.80","1,487.00","1,485.95","1,495.83","1,617.55","1,095.30",7722577,"11,55,16,69,677.25",176470
19-Feb-2020,EQ,"1,479.35","1,506.45","1,475.10","1,467.40","1,504.50","1,503.80","1,497.34","1,617.55","1,095.30",6438918,"9,64,12,69,216.50",249278
