DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2020,EQ,"360.00","377.00","346.00","347.10","374.85","370.80","361.40","598.60","200.00",137914,"4,98,42,677.65",5660
16-Apr-2020,EQ,"367.00","367.00","323.05","356.20","350.95","347.10","344.73","598.60","200.00",253147,"8,72,67,343.80",8696
15-Apr-2020,EQ,"350.00","385.00","345.15","334.60","359.00","356.20","372.80","598.60","200.00",704550,"26,26,54,548.10",22732
13-Apr-2020,EQ,"298.00","345.15","290.00","287.65","345.15","334.60","319.26","598.60","200.00",600050,"19,15,70,026.55",13675
09-Apr-2020,EQ,"275.00","292.90","268.10","262.80","286.00","287.65","281.57","611.60","200.00",281017,"7,91,27,176.45",13027
08-Apr-2020,EQ,"236.95","277.60","231.20","235.40","265.90","262.80","236.02","611.60","200.00",9163665,"2,16,28,13,300.55",10905
07-Apr-2020,EQ,"252.00","252.00","230.00","235.10","233.00","235.40","239.38","611.60","200.00",128684,"3,08,04,244.15",5634
03-Apr-2020,EQ,"249.00","250.00","233.50","236.20","234.50","235.10","240.62","627.70","200.00",86209,"2,07,43,807.40",3502
01-Apr-2020,EQ,"241.00","241.00","231.35","233.15","237.20","236.20","235.28","627.70","200.00",40359,"94,95,584.20",1763
31-Mar-2020,EQ,"235.00","238.90","231.75","233.75","232.50","233.15","234.61","627.70","200.00",61268,"1,43,74,315.90",3135
30-Mar-2020,EQ,"229.55","235.15","224.75","229.55","232.85","233.75","231.44","627.70","200.00",71711,"1,65,96,662.35",3167
27-Mar-2020,EQ,"246.00","258.00","225.65","238.25","229.30","229.55","241.95","627.70","200.00",273000,"6,60,53,149.65",8493
26-Mar-2020,EQ,"231.00","243.25","228.05","227.05","236.00","238.25","236.11","627.70","200.00",149755,"3,53,58,423.70",4419
25-Mar-2020,EQ,"228.00","233.00","222.00","230.05","225.40","227.05","228.61","627.70","200.00",131435,"3,00,47,924.65",3372
24-Mar-2020,EQ,"247.25","255.00","205.00","234.25","230.00","230.05","231.78","627.70","200.00",97342,"2,25,61,845.15",4889
23-Mar-2020,EQ,"233.00","257.80","215.00","236.50","226.35","234.25","230.79","627.70","200.00",125967,"2,90,72,329.90",4092
20-Mar-2020,EQ,"229.00","243.00","221.25","216.05","239.00","236.50","235.27","627.70","200.00",292504,"6,88,17,510.15",9453
19-Mar-2020,EQ,"225.00","233.95","200.00","228.45","217.00","216.05","220.97","627.70","200.00",191777,"4,23,76,418.75",9540
