DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Mar-2020,EQ,"247.10","268.70","224.00","246.55","225.25","228.45","239.19","627.70","222.55",151801,"3,63,09,002.60",9861
17-Mar-2020,EQ,"256.00","263.90","236.00","253.75","257.75","246.55","243.71","627.70","222.55",196536,"4,78,97,870.30",11417
16-Mar-2020,EQ,"250.00","264.90","231.75","250.55","258.00","253.75","248.11","627.70","222.55",179945,"4,46,45,478.80",6898
13-Mar-2020,EQ,"227.50","272.90","222.55","267.80","254.00","250.55","253.24","627.70","222.55",149858,"3,79,50,039.40",10342
12-Mar-2020,EQ,"318.50","318.50","262.00","318.55","265.00","267.80","281.58","627.70","262.00",133259,"3,75,22,615.95",9272
11-Mar-2020,EQ,"334.00","344.00","317.05","329.20","319.80","318.55","326.29","627.70","316.65",62479,"2,03,86,542.25",5856
09-Mar-2020,EQ,"330.00","335.00","316.65","341.55","332.00","329.20","325.25","627.70","316.65",114717,"3,73,11,566.25",6127
06-Mar-2020,EQ,"339.90","347.70","330.05","346.85","345.00","341.55","337.56","627.70","330.05",39808,"1,34,37,752.30",2284
05-Mar-2020,EQ,"352.00","355.95","341.10","350.50","342.15","346.85","346.75","627.70","337.30",78830,"2,73,34,397.70",4832
04-Mar-2020,EQ,"364.85","365.95","340.60","360.55","343.60","350.50","351.62","627.70","337.30",83631,"2,94,06,727.15",6292
03-Mar-2020,EQ,"364.30","367.45","351.05","356.85","362.00","360.55","359.31","627.70","337.30",66250,"2,38,04,046.70",2675
02-Mar-2020,EQ,"368.90","379.00","350.10","360.90","360.00","356.85","366.71","627.70","337.30",82200,"3,01,43,271.15",4510
28-Feb-2020,EQ,"365.40","372.95","357.70","375.15","359.20","360.90","362.64","627.70","337.30",72931,"2,64,47,374.00",3094
27-Feb-2020,EQ,"381.00","381.25","362.95","379.85","375.00","375.15","373.15","627.70","337.30",50844,"1,89,72,554.35",3324
26-Feb-2020,EQ,"385.30","388.00","375.00","385.30","379.85","379.85","382.95","627.70","337.30",27868,"1,06,72,176.90",1550
25-Feb-2020,EQ,"395.00","398.35","381.00","388.60","385.05","385.30","387.14","627.70","337.30",138688,"5,36,91,671.80",6480
24-Feb-2020,EQ,"388.00","394.80","380.00","391.85","390.00","388.60","387.55","627.70","337.30",94257,"3,65,29,059.45",3710
20-Feb-2020,EQ,"390.00","445.90","380.05","384.40","387.05","391.85","408.67","627.70","337.30",329079,"13,44,84,094.25",8931
19-Feb-2020,EQ,"395.00","395.00","382.10","390.25","383.60","384.40","386.73","627.70","337.30",58658,"2,26,84,812.35",3531
